date,spy_equity
2016-10-19,100000.0
2016-10-20,99813.3149839656
2016-10-21,99859.98208978701
2016-10-24,100284.67349369783
2016-10-25,99948.65373903488
2016-10-26,99747.98103581561
2016-10-27,99481.95779169761
2016-10-28,99187.9508768355
2016-10-31,99192.62173560483
2016-11-01,98473.95660232939
2016-11-02,97881.26361746147
2016-11-03,97433.25940157588
2016-11-04,97325.93750274817
2016-11-07,99472.6326669077
2016-11-08,99920.62858641894
2016-11-09,100980.00922224975
2016-11-10,101232.02818643414
2016-11-11,100998.68436095267
2016-11-14,101078.00599628754
2016-11-15,101866.73401110286
2016-11-16,101675.35324717604
2016-11-17,102198.04142512463
2016-11-18,101969.39334753563
2016-11-21,102739.37985265307
2016-11-22,102940.06085224672
2016-11-23,102996.0613792324
2016-11-25,103378.73994334239
2016-11-28,102893.41033917404
2016-11-29,103094.07474601895
2016-11-30,102846.751529727
2016-12-01,102468.71063888885
2016-12-02,102520.0486034796
2016-12-05,103136.0544003223
2016-12-06,103462.75732656968
2016-12-07,104816.11998813952
2016-12-08,105072.75173647264
2016-12-09,105707.45756114137
2016-12-12,105586.1479751288
2016-12-13,106290.81712484501
2016-12-14,105413.467239028
2016-12-15,105847.48376772873
2016-12-16,105640.46433811773
2016-12-19,105870.48131747752
2016-12-20,106278.87034575472
2016-12-21,105983.16267414711
2016-12-22,105800.07828458853
2016-12-23,105954.97989041818
2016-12-27,106217.86710502497
2016-12-28,105340.0111403715
2016-12-29,105316.55729003246
2016-12-30,104931.62211209431
2017-01-03,105734.36270321762
2017-01-04,106363.38551144411
2017-01-05,106278.87034575472
2017-01-06,106659.11807217481
2017-01-09,106307.05312948367
2017-01-10,106307.05312948367
2017-01-11,106607.52291997866
2017-01-12,106339.91506835632
2017-01-13,106584.01929139339
2017-01-17,106208.48390561448
2017-01-18,106443.18004011795
2017-01-19,106048.88655189241
2017-01-20,106438.4842922255
2017-01-23,106161.5181303158
2017-01-24,106842.21905448212
2017-01-25,107766.96612706495
2017-01-26,107654.32625226719
2017-01-27,107485.3291063859
2017-01-30,106818.74861139433
2017-01-31,106809.34881923512
2017-02-01,106851.57736476952
2017-02-02,106921.98869403287
2017-02-03,107658.98881466217
2017-02-06,107466.52122569307
2017-02-07,107471.2418627086
2017-02-08,107612.07281760969
2017-02-09,108250.50371436977
2017-02-10,108677.66743784233
2017-02-13,109269.16574480121
2017-02-14,109705.72926043299
2017-02-15,110278.41139032466
2017-02-16,110184.53791434791
2017-02-17,110358.20591899852
2017-02-21,111015.42810370268
2017-02-22,110916.86717620786
2017-02-23,110991.94106786617
2017-02-24,111132.7803191416
2017-02-27,111306.50639841279
2017-02-28,111006.0449042922
2017-03-01,112559.88115609645
2017-03-02,111850.99744820117
2017-03-03,111921.45855571073
2017-03-06,111588.15171546621
2017-03-07,111254.83657884733
2017-03-08,111048.29004257533
2017-03-09,111189.11270110203
2017-03-10,111578.75192330699
2017-03-13,111635.0843052674
2017-03-14,111207.89569267175
2017-03-15,112170.2419338915
2017-03-16,111949.57496844474
2017-03-17,111752.97578504028
2017-03-20,111630.40515012373
2017-03-21,110197.12351426455
2017-03-22,110456.45158426736
2017-03-23,110338.57669724323
2017-03-24,110258.40883172282
2017-03-27,110145.24628533986
2017-03-28,110946.76730943103
2017-03-29,111050.48858178292
2017-03-30,111404.10494648092
2017-03-31,111144.78517285247
2017-04-03,110951.46305732346
2017-04-04,111022.20624156157
2017-04-05,110692.18476556685
2017-04-06,111003.34858262251
2017-04-07,110890.20262898829
2017-04-10,110956.19199071336
2017-04-11,110824.21326726321
2017-04-12,110338.57669724323
2017-04-13,109621.944175688
2017-04-17,110593.16753748179
2017-04-18,110263.14606148709
2017-04-19,110060.41585742448
2017-04-20,110956.19199071336
2017-04-21,110602.60881151285
2017-04-24,111818.99003588846
2017-04-25,112469.61660296988
2017-04-26,112398.923196978
2017-04-27,112493.21978804754
2017-04-28,112248.02873996824
2017-05-01,112530.92680955125
2017-05-02,112573.35446807048
2017-05-03,112436.59703298424
2017-05-04,112568.63383105495
2017-05-05,113011.83444618135
2017-05-08,112992.94360174483
2017-05-09,112889.2306257673
2017-05-10,113091.97742257865
2017-05-11,112860.93998917157
2017-05-12,112672.37999252995
2017-05-15,113294.69103389251
2017-05-16,113190.96146516626
2017-05-17,111182.50878710492
2017-05-18,111630.40515012373
2017-05-19,112356.47894571001
2017-05-22,112926.93764727101
2017-05-23,113176.8410359915
2017-05-24,113440.85655751236
2017-05-25,113983.0826970982
2017-05-26,113959.47121564616
2017-05-30,113860.49546943294
2017-05-31,113832.20483283717
2017-06-01,114737.40564740839
2017-06-02,115119.32094507651
2017-06-05,115034.44073891493
2017-06-06,114666.68735229342
2017-06-07,114878.85053401272
2017-06-08,114935.42351082983
2017-06-09,114760.98394336298
2017-06-12,114737.40564740839
2017-06-13,115298.4562604358
2017-06-14,115152.33221868779
2017-06-15,114930.70287381431
2017-06-16,114955.80770265263
2017-06-19,115912.85256065107
2017-06-20,115131.08520393069
2017-06-21,115102.68671446817
2017-06-22,115050.60207618427
2017-06-23,115187.95685022505
2017-06-26,115263.76082282777
2017-06-27,114335.1642325381
2017-06-28,115358.53860361066
2017-06-29,114344.65528481537
2017-06-30,114557.86380970507
2017-07-03,114752.11511916333
2017-07-05,115017.41657871127
2017-07-06,113965.64371817614
2017-07-07,114704.72622877186
2017-07-10,114827.91079539165
2017-07-11,114742.60747413729
2017-07-12,115604.89944047591
2017-07-13,115799.15074993417
2017-07-14,116339.21983218424
2017-07-17,116325.03303201456
2017-07-18,116386.60872257571
2017-07-19,117016.7266522188
2017-07-20,117068.85277237454
2017-07-21,116964.60882843744
2017-07-24,116936.18544985182
2017-07-25,117220.42753208251
2017-07-26,117225.17305822113
2017-07-27,117116.241662766
2017-07-28,116978.82051773027
2017-07-31,116912.48270828172
2017-08-01,117173.08841993725
2017-08-02,117229.9351771085
2017-08-03,117002.514962926
2017-08-04,117215.69859869259
2017-08-07,117433.64435334655
2017-08-08,117144.66504135162
2017-08-09,117139.90292246423
2017-08-10,115486.4272144973
2017-08-11,115656.99237513418
2017-08-14,116803.55131282659
2017-08-15,116789.31473441065
2017-08-16,116993.04050339745
2017-08-17,115169.00793116797
2017-08-18,114988.9766073769
2017-08-21,115079.01715839555
2017-08-22,116282.38137138735
2017-08-23,115865.45537388524
2017-08-24,115595.43327732173
2017-08-25,115865.45537388524
2017-08-28,115870.20090002386
2017-08-29,116002.90140804405
2017-08-30,116552.45324619708
2017-08-31,117253.6130295555
2017-09-01,117419.43266405375
2017-09-05,116576.13939501843
2017-09-06,116974.09158434035
2017-09-07,116959.85500592444
2017-09-08,116822.49193550929
2017-09-11,118068.50780912829
2017-09-12,118466.45170207586
2017-09-13,118523.3316447446
2017-09-14,118485.42551025607
2017-09-15,118644.93160386007
2017-09-18,118897.24923752171
2017-09-19,119016.32709882924
2017-09-20,119059.14468694378
2017-09-21,118740.15738885886
2017-09-22,118763.95968692137
2017-09-25,118521.12480916266
2017-09-26,118592.5814815964
2017-09-27,119054.3825680564
2017-09-28,119197.21294918022
2017-09-29,119616.20474390005
2017-10-02,120135.1927388804
2017-10-03,120392.29738055253
2017-10-04,120535.11946530199
2017-10-05,121249.31285279295
2017-10-06,121111.26118330524
2017-10-09,120911.24389366106
2017-10-10,121230.28096999218
2017-10-11,121420.7242436154
2017-10-12,121239.7886150182
2017-10-13,121387.3811150294
2017-10-16,121549.2931572002
2017-10-17,121634.96151892676
2017-10-18,121754.01449111119
2017-10-19,121787.33273057407
2017-10-20,122415.7996817179
2017-10-23,121939.66246034956
2017-10-24,122153.9329211584
2017-10-25,121549.2931572002
2017-10-26,121706.39330223743
2017-10-27,122701.49362946302
2017-10-30,122244.39658726982
2017-10-31,122434.84815726739
2017-11-01,122596.74360668946
2017-11-02,122644.36479556322
2017-11-03,123053.8074633852
2017-11-06,123244.26732975715
2017-11-07,123158.57407890749
2017-11-08,123368.05753170584
2017-11-09,122920.49302366175
2017-11-10,122882.41266531148
2017-11-13,122996.66203673667
2017-11-14,122711.01786723777
2017-11-15,122096.79579088424
2017-11-16,123134.75518809623
2017-11-17,122772.90052365055
2017-11-20,122982.37568007455
2017-11-21,123787.04932642565
2017-11-22,123677.53718476473
2017-11-24,123963.19794701238
2017-11-27,123901.3152905996
2017-11-28,125158.27408201032
2017-11-29,125082.08847618668
2017-11-30,126177.14352180096
2017-12-01,125915.3182431133
2017-12-04,125762.95532784036
2017-12-05,125310.6287009089
2017-12-06,125334.42270259705
2017-12-07,125729.62879200309
2017-12-08,126415.25776254416
2017-12-11,126796.15260616496
2017-12-12,127019.88923012798
2017-12-13,127005.6443553377
2017-12-14,126486.66465673171
2017-12-15,127539.9889392737
2017-12-18,128348.73610543962
2017-12-19,127855.76554047808
2017-12-20,127788.79720657757
2017-12-21,128051.99968341035
2017-12-22,128018.53210920881
2017-12-26,127865.3810383709
2017-12-27,127927.61214250716
2017-12-28,128190.80632296558
2017-12-29,127707.42636677374
2018-01-02,128621.49600554463
2018-01-03,129435.05506884414
2018-01-04,129980.5665726798
2018-01-05,130846.78272409462
2018-01-08,131086.09164274682
2018-01-09,131382.77828652988
2018-01-10,131181.7737283359
2018-01-11,132138.88495732925
2018-01-12,133000.28921161048
2018-01-16,132545.65619260466
2018-01-17,133809.06956327386
2018-01-18,133584.1465577762
2018-01-19,134191.8974621225
2018-01-22,135283.01172991187
2018-01-23,135570.1658395458
2018-01-24,135517.49215868177
2018-01-25,135574.92795843317
2018-01-26,137144.57709978332
2018-01-29,136235.31106177164
2018-01-30,134837.96102330138
2018-01-31,134904.97083907374
2018-02-01,134751.77828636396
2018-02-02,131818.25497711942
2018-02-05,126305.26443116987
2018-02-06,128793.79510842449
2018-02-07,128095.07445913031
2018-02-08,123290.38687487027
2018-02-09,125142.41141421822
2018-02-12,126980.06663316037
2018-02-13,127295.9179017341
2018-02-14,129013.88132766547
2018-02-15,130660.12259718332
2018-02-16,130698.41866126716
2018-02-20,129880.09747908027
2018-02-21,129234.0339179014
2018-02-22,129401.49623452457
2018-02-23,131464.09105171313
2018-02-26,132990.71519558952
2018-02-27,131330.16268028642
2018-02-28,129999.72290109609
2018-03-01,128109.44377953613
2018-03-02,128769.85177199771
2018-03-05,130258.14666629279
2018-03-06,130588.3672552723
2018-03-07,130540.50547154185
2018-03-08,131172.20800868928
2018-03-09,133454.91393424192
2018-03-12,133287.4018393726
2018-03-13,132426.0058814657
2018-03-14,131746.44156058785
2018-03-15,131602.91428401708
2018-03-16,131745.611923151
2018-03-19,129963.01144451658
2018-03-20,130184.07663593303
2018-03-21,129934.1815435869
2018-03-22,126686.22564578563
2018-03-23,123985.97979102761
2018-03-26,127378.06860072851
2018-03-27,125211.18835773104
2018-03-28,124841.21154277885
2018-03-29,126436.38033168574
2018-04-02,123707.3128723724
2018-04-03,125292.88275613521
2018-04-04,126633.3943338086
2018-04-05,127632.76729383387
2018-04-06,124788.36363805308
2018-04-09,125403.37386997158
2018-04-10,127397.3078928885
2018-04-11,126729.48294174169
2018-04-12,127772.09660497429
2018-04-13,127397.3078928885
2018-04-16,128444.75834237777
2018-04-17,129818.91171811441
2018-04-18,129914.99202967314
2018-04-19,129194.31087742621
2018-04-20,128098.8161239704
2018-04-23,128079.59342455916
2018-04-24,126354.7274151534
2018-04-25,126667.03613187186
2018-04-26,127954.65002657329
2018-04-27,128074.77323105121
2018-04-30,127089.81107330362
2018-05-01,127315.65497635615
2018-05-02,126460.4315209793
2018-05-03,126181.74800957533
2018-05-04,127815.28752993539
2018-05-07,128247.7443402549
2018-05-08,128247.7443402549
2018-05-09,129487.3803019847
2018-05-10,130698.16977003613
2018-05-11,131096.98478229233
2018-05-14,131159.41499941345
2018-05-15,130256.12235094693
2018-05-16,130803.873875862
2018-05-17,130693.38276202565
2018-05-18,130366.60516840892
2018-05-21,131346.7886145204
2018-05-22,130981.67347494802
2018-05-23,131341.9601246381
2018-05-24,131072.9087038757
2018-05-25,130760.64976540343
2018-05-29,129256.76598367041
2018-05-30,130981.67347494802
2018-05-31,130179.25644242507
2018-06-01,131457.33780297736
2018-06-04,132081.9552364143
2018-06-05,132178.02725159866
2018-06-06,133283.12091019857
2018-06-07,133268.7101079209
2018-06-08,133662.7049266692
2018-06-11,133840.47963663208
2018-06-12,134013.44244946138
2018-06-13,133585.75605440364
2018-06-14,133922.14914591314
2018-06-15,133751.32679767083
2018-06-18,133476.1692453734
2018-06-19,132964.614801827
2018-06-20,133191.46256617812
2018-06-21,132356.48226425974
2018-06-22,132597.7823127604
2018-06-25,130792.78162333166
2018-06-26,131082.37486702984
2018-06-27,129996.45412959502
2018-06-28,130739.73460562105
2018-06-29,130927.92126541612
2018-07-02,131207.80775110345
2018-07-03,130744.50502088279
2018-07-05,131811.12839153712
2018-07-06,132926.00347551715
2018-07-09,134122.9545911223
2018-07-10,134605.52150262607
2018-07-11,133620.9409780994
2018-07-12,134832.36097060278
2018-07-13,134938.55456251642
2018-07-16,134817.9086864533
2018-07-17,135363.33722654526
2018-07-18,135648.06049848933
2018-07-19,135136.51435131728
2018-07-20,134981.97778595984
2018-07-23,135232.97629609695
2018-07-24,135913.49470002716
2018-07-25,137071.79300745064
2018-07-26,136748.40033457617
2018-07-27,135821.82805963233
2018-07-30,135112.3304200338
2018-07-31,135778.32187244523
2018-08-01,135551.51558996597
2018-08-02,136289.91779786348
2018-08-03,136873.94936789095
2018-08-06,137375.86342442143
2018-08-07,137829.59213862114
2018-08-08,137771.63366728454
2018-08-09,137583.3889328689
2018-08-10,136661.57048043807
2018-08-13,136149.95796227106
2018-08-14,137018.70450786818
2018-08-15,135995.52924978043
2018-08-16,137095.91056773916
2018-08-17,137578.56044298658
2018-08-20,137872.97388019273
2018-08-21,138196.34166394407
2018-08-22,138114.31541056515
2018-08-23,137930.88257328313
2018-08-24,138761.03438531913
2018-08-27,139856.61210251861
2018-08-28,139924.07821888127
2018-08-29,140677.0571565438
2018-08-30,140107.5110561633
2018-08-31,140112.40591704057
2018-09-04,139871.03120117067
2018-09-05,139494.62469608308
2018-09-06,139074.7285965571
2018-09-07,138804.45760876258
2018-09-10,139045.74936088882
2018-09-11,139504.24849035023
2018-09-12,139537.98154853153
2018-09-13,140363.28827793652
2018-09-14,140387.44732009684
2018-09-17,139644.1917331939
2018-09-18,140401.98256799002
2018-09-19,140551.5661978496
2018-09-20,141690.54224936944
2018-09-21,141561.0856237272
2018-09-24,141090.84712453472
2018-09-25,140959.94692975245
2018-09-26,140538.1592568705
2018-09-27,140930.8764339661
2018-09-28,140945.3784963618
2018-10-01,141435.01391882726
2018-10-02,141352.6143286018
2018-10-03,141430.2020216937
2018-10-04,140324.8594718628
2018-10-05,139539.44171042036
2018-10-08,139539.44171042036
2018-10-09,139335.79890517725
2018-10-10,134923.99442550013
2018-10-11,131952.06719930496
2018-10-12,133784.6865190056
2018-10-15,133033.2341142268
2018-10-16,135942.1005988489
2018-10-17,135966.36749387602
2018-10-18,134002.83968301877
2018-10-19,133930.09707255795
2018-10-22,133328.9417858344
2018-10-23,132650.20710239335
2018-10-24,128631.10320706306
2018-10-25,130938.81440496162
2018-10-26,128635.93169694538
2018-10-29,127923.27313871257
2018-10-30,129818.90342174005
2018-10-31,131205.43498803413
2018-11-01,132601.7230905853
2018-11-02,131816.330218266
2018-11-05,132543.57380263822
2018-11-06,133382.26258389917
2018-11-07,136237.86634507705
2018-11-08,135990.5763142826
2018-11-09,134662.18573956122
2018-11-12,132146.0281356603
2018-11-13,131898.72980849148
2018-11-14,130996.97198928309
2018-11-15,132364.13981780165
2018-11-16,132708.3895758379
2018-11-19,130463.72252676368
2018-11-20,128049.32825086376
2018-11-21,128485.66776438762
2018-11-23,127627.54887435622
2018-11-26,129687.9949305834
2018-11-27,130124.32614773288
2018-11-28,133120.44560158587
2018-11-29,132829.5830126093
2018-11-30,133639.2012980839
2018-12-03,135408.80965445767
2018-12-04,131021.25547705893
2018-12-06,130822.44116169817
2018-12-07,127782.71596416563
2018-12-10,128025.10283770847
2018-12-11,128054.14844437173
2018-12-12,128698.98414214411
2018-12-13,128655.36180571585
2018-12-14,126279.75307998751
2018-12-17,123802.331248012
2018-12-18,123666.61085972175
2018-12-19,121814.61950587126
2018-12-20,119831.71136448976
2018-12-21,117376.40766658
2018-12-24,114274.97403649642
2018-12-26,120048.68644334265
2018-12-27,120970.36385740922
2018-12-28,120814.3090555424
2018-12-31,121872.49501346418
2019-01-02,121999.28020655981
2019-01-03,119088.04925524276
2019-01-04,123076.98753337009
2019-01-07,124047.42273959887
2019-01-08,125212.8725217278
2019-01-09,125798.05728779243
2019-01-10,126241.8137600015
2019-01-11,126290.5715521637
2019-01-14,125520.1038573329
2019-01-15,126958.69517278775
2019-01-16,127265.92650839286
2019-01-17,128231.41707549816
2019-01-18,129938.17209965804
2019-01-22,128182.63439421284
2019-01-23,128450.84788116405
2019-01-24,128519.12704221478
2019-01-25,129606.55771978464
2019-01-28,128621.53748741647
2019-01-29,128450.84788116405
2019-01-30,130484.33901706879
2019-01-31,131630.30891218106
2019-02-01,131693.68491598012
2019-02-04,132620.2157090521
2019-02-05,133176.14745909433
2019-02-06,133000.57958471336
2019-02-07,131732.7110610084
2019-02-08,131893.61924188063
2019-02-11,131966.77667105987
2019-02-12,133663.81664083453
2019-02-13,134097.7750949147
2019-02-14,133800.32518468975
2019-02-15,135258.36320166377
2019-02-19,135492.4785899615
2019-02-20,135765.61182691308
2019-02-21,135282.8209133014
2019-02-22,136121.55117643418
2019-02-25,136306.84240157472
2019-02-26,136209.36000274777
2019-02-27,136150.812488831
2019-02-28,135897.20891714227
2019-03-01,136745.7040129065
2019-03-04,136248.32807315543
2019-03-05,136063.0119588918
2019-03-06,135238.8667218984
2019-03-07,134107.53163117173
2019-03-08,133839.3430333436
2019-03-11,135780.17196392934
2019-03-12,136292.19930081474
2019-03-13,137194.36364236719
2019-03-14,137106.57970517673
2019-03-15,137783.97037597012
2019-03-18,138283.54485492877
2019-03-19,138317.8254738184
2019-03-20,137901.45533339892
2019-03-21,139459.0996210382
2019-03-22,136775.00680717514
2019-03-25,136672.15665413195
2019-03-26,137690.8933519327
2019-03-27,136970.9090951327
2019-03-28,137490.07961034914
2019-03-29,138356.96776808778
2019-04-01,139997.81639426626
2019-04-02,140066.36103929678
2019-04-03,140286.84548450742
2019-04-04,140659.03743141596
2019-04-05,141339.82131932597
2019-04-08,141447.57462962082
2019-04-09,140722.7369938154
2019-04-10,141202.71543651624
2019-04-11,141163.50677125188
