date,spy_equity
2016-01-04,100000.0
2016-01-05,100169.13181396991
2016-01-06,98905.56009275891
2016-01-07,96532.65861417344
2016-01-08,95473.08143203358
2016-01-11,95567.62030558857
2016-01-12,96338.65949319548
2016-01-13,93935.933411297
2016-01-14,95478.03872833855
2016-01-15,93428.50204695026
2016-01-19,93552.86552381828
2016-01-20,92353.99011163077
2016-01-21,92871.33606858744
2016-01-22,94776.65314606008
2016-01-25,93343.93164966068
2016-01-26,94617.42694409085
2016-01-27,93587.710287701
2016-01-28,94075.21368012615
2016-01-29,96368.51103833625
2016-02-01,96333.71117749978
2016-02-02,94597.53489460626
2016-02-03,95164.65138801602
2016-02-04,95313.8642106736
2016-02-05,93498.12871045097
2016-02-08,92239.55020798193
2016-02-09,92244.54342672389
2016-02-10,92164.94828695778
2016-02-11,90966.07287477025
2016-02-12,92841.48452344666
2016-02-16,94408.51103115175
2016-02-17,95950.6522706303
2016-02-18,95557.65182932316
2016-02-19,95512.89247283051
2016-02-22,96895.79852973059
2016-02-23,95672.04682992576
2016-02-24,96109.83356955329
2016-02-25,97273.90912090433
2016-02-26,97050.0225323486
2016-02-29,96288.93385978862
2016-03-01,98552.3886534672
2016-03-02,98995.12370879046
2016-03-03,99383.10398952788
2016-03-04,99706.47776733432
2016-03-07,99786.0639264912
2016-03-08,98696.61723799206
2016-03-09,99184.17451407271
2016-03-10,99263.72475079258
2016-03-11,100865.55111933415
2016-03-14,100736.21238494269
2016-03-15,100572.05582849622
2016-03-16,101154.08911386711
2016-03-17,101795.83447012879
2016-03-18,102195.83080604022
2016-03-21,102340.89458722515
2016-03-22,102285.85243314342
2016-03-23,101610.82493900819
2016-03-24,101565.79616423811
2016-03-28,101625.79561462482
2016-03-29,102565.85884889064
2016-03-30,103015.90412014187
2016-03-31,102765.90191989261
2016-04-01,103465.9134689561
2016-04-04,103130.87387973633
2016-04-05,102100.86086324131
2016-04-06,103215.91126870684
2016-04-07,101980.84400124938
2016-04-08,102255.86617886393
2016-04-11,102015.82347427083
2016-04-12,102965.90008784832
2016-04-13,104005.91750304577
2016-04-14,104010.92868300623
2016-04-15,103895.94096219326
2016-04-18,104626.0285716287
2016-04-19,104956.00309723252
2016-04-20,105056.01116181962
2016-04-21,104490.98715036467
2016-04-22,104490.98715036467
2016-04-25,104310.97083798604
2016-04-26,104465.9671729994
2016-04-27,104680.98990022723
2016-04-28,103730.91328664974
2016-04-29,103170.89147454599
2016-05-02,103990.94682742916
2016-05-03,103085.92593044949
2016-05-04,102510.8705784644
2016-05-05,102490.84381984109
2016-05-06,102865.88304265196
2016-05-09,102950.9114510132
2016-05-10,104230.980551413
2016-05-11,103255.91090229798
2016-05-12,103285.88817596823
2016-05-13,102385.86049773051
2016-05-16,103395.92758108547
2016-05-17,102430.86233067287
2016-05-18,102460.88450738933
2016-05-19,102105.85408198327
2016-05-20,102750.88634122975
2016-05-23,102610.86966244224
2016-05-24,103940.96973696334
2016-05-25,104646.01940781504
2016-05-26,104675.98770087602
2016-05-27,105126.01501090874
2016-05-31,104925.99888173453
2016-06-01,105141.0305895716
2016-06-02,105461.0546001285
2016-06-03,105146.01482770432
2016-06-06,105681.04360427053
2016-06-07,105846.0443379863
2016-06-08,106191.07934529921
2016-06-09,106046.06944776977
2016-06-10,105041.03150559377
2016-06-13,104230.980551413
2016-06-14,104025.9801841061
2016-06-15,103880.91640292114
2016-06-16,104190.94499538487
2016-06-17,103802.95573403817
2016-06-20,104471.45432525
2016-06-21,104768.0030232323
2016-06-22,104597.07508741276
2016-06-23,105959.21797573115
2016-06-24,102154.29548826764
2016-06-27,100324.73883041216
2016-06-28,102134.19688477034
2016-06-29,103873.28288506024
2016-06-30,105290.73734573784
2016-07-01,105511.85790664512
2016-07-05,104752.91559969544
2016-07-06,105381.19902269419
2016-07-07,105315.86509041408
2016-07-08,106884.03213549369
2016-07-11,107261.02015051142
2016-07-12,108040.09698339539
2016-07-13,108025.0185404678
2016-07-14,108628.16523818101
2016-07-15,108482.40995008398
2016-07-18,108773.95644871506
2016-07-19,108663.33330399667
2016-07-20,109115.71353365241
2016-07-21,108703.54847220978
2016-07-22,109191.1237095089
2016-07-25,108894.57501152661
2016-07-26,108944.83948148836
2016-07-27,108829.24107924652
2016-07-28,108954.8708220185
2016-07-29,109130.78299597076
2016-08-01,109040.29437718667
2016-08-02,108341.70176438439
2016-08-03,108658.32212403623
2016-08-04,108773.95644871506
2016-08-05,109663.60254266195
2016-08-08,109598.25962977258
2016-08-09,109663.60254266195
2016-08-10,109392.1636281374
2016-08-11,109899.81950771532
2016-08-12,109804.31970897078
2016-08-15,110120.97599105963
2016-08-16,109553.0063397713
2016-08-17,109759.10234140648
2016-08-18,110005.37758881776
2016-08-19,109844.53487718389
2016-08-22,109839.50573600494
2016-08-23,110060.66221934922
2016-08-24,109497.72170923984
2016-08-25,109422.3384752111
2016-08-26,109216.24247357591
2016-08-29,109754.08218083678
2016-08-30,109573.09596265934
2016-08-31,109261.46882174945
2016-09-01,109266.48898231916
2016-09-02,109759.10234140648
2016-09-06,110090.83706642293
2016-09-07,110080.72490040955
2016-09-08,109829.48337608403
2016-09-09,107200.72434001953
2016-09-12,108738.77042168092
2016-09-13,107175.57863412477
2016-09-14,107135.36346591168
2016-09-15,108205.94189438049
2016-09-16,107787.66103803989
2016-09-19,107807.89435067591
2016-09-20,107812.95043368259
2016-09-21,109025.35962400703
2016-09-22,109712.37623148848
2016-09-23,109111.20526780984
2016-09-26,108227.17205464304
2016-09-27,108899.06531615068
2016-09-28,109439.59022557674
2016-09-29,108449.44213353412
2016-09-30,109267.83607370638
2016-10-03,109005.14427258952
2016-10-04,108449.44213353412
2016-10-05,108929.38385297234
2016-10-06,109005.14427258952
2016-10-07,108631.30845141786
2016-10-10,109197.08683404965
2016-10-11,107818.00651668929
2016-10-12,107959.45111234723
2016-10-13,107605.83962320238
2016-10-14,107661.40265262051
2016-10-17,107287.55785083963
2016-10-18,107959.45111234723
2016-10-19,108247.39638666983
2016-10-20,108045.3057367593
2016-10-21,108095.84860560775
2016-10-24,108555.53905119144
2016-10-25,108191.82437664243
2016-10-26,107974.57445832108
2016-10-27,107686.67408704472
2016-10-28,107368.37435346349
2016-10-31,107373.43043647018
2016-11-01,106595.47617974223
2016-11-02,105953.93737749326
2016-11-03,105468.94855565761
2016-11-04,105352.78437503312
2016-11-07,107676.56192103135
2016-11-08,108161.52380103928
2016-11-09,109308.23983471368
2016-11-10,109581.05278245317
2016-11-11,109328.43722491272
2016-11-14,109414.30981054327
2016-11-15,110268.0604093254
2016-11-16,110060.93163762667
2016-11-17,110626.71900086771
2016-11-18,110379.18646816167
2016-11-21,111212.71273491702
2016-11-22,111429.95367262914
2016-11-23,111490.56380444471
2016-11-25,111904.81236723291
2016-11-28,111379.41978438995
2016-11-29,111596.6697027113
2016-11-30,111328.90385736924
2016-12-01,110919.720358197
2016-12-02,110975.26542639664
2016-12-05,111642.1115855068
2016-12-06,111995.72307465166
2016-12-07,113460.72088068884
2016-12-08,113738.55398899804
2016-12-09,114425.552635261
2016-12-12,114294.2291862257
2016-12-13,115057.04213576131
2016-12-14,114107.34270777223
2016-12-15,114577.15429997857
2016-12-16,114353.04319619163
2016-12-19,114602.02160698663
2016-12-20,115044.11903905324
2016-12-21,114723.97828057615
2016-12-22,114525.82113751631
2016-12-23,114693.50707339727
2016-12-27,114978.03971620557
2016-12-28,114027.82839348936
2016-12-29,114002.43123053566
2016-12-30,113585.77586446896
2017-01-03,114454.67675105266
2017-01-04,115135.58654424541
2017-01-05,115044.11903905324
2017-01-06,115455.73628333175
2017-01-09,115074.59922684138
2017-01-10,115074.59922684138
2017-01-11,115399.8499519807
2017-01-12,115110.18040068245
2017-01-13,115374.40788598075
2017-01-17,114967.89162775518
2017-01-18,115221.98000521236
2017-01-19,114795.11368643054
2017-01-20,115216.89698037792
2017-01-23,114917.09730184781
2017-01-24,115653.90240700085
2017-01-25,116654.97990049845
2017-01-26,116533.02322690893
2017-01-27,116350.07025530614
2017-01-30,115628.48728282866
2017-01-31,115618.33021376903
2017-02-01,115664.08641788823
2017-02-02,115740.2779067493
2017-02-03,116538.08829052486
2017-02-06,116329.72917535916
2017-02-07,116334.80321958434
2017-02-08,116487.25804218047
2017-02-09,117178.3518462606
2017-02-10,117640.73647461872
2017-02-13,118281.03595279144
2017-02-14,118753.5956114277
2017-02-15,119373.53604843495
2017-02-16,119271.89351296467
2017-02-17,119459.91154818339
2017-02-21,120171.33745160124
2017-02-22,120064.59393007804
2017-02-23,120145.91334681981
2017-02-24,120298.38613063446
2017-02-27,120486.38620463468
2017-02-28,120161.17140193237
2017-03-01,121843.10480496721
2017-03-02,121075.82849263528
2017-03-03,121152.03794271486
2017-03-06,120791.26890799923
2017-03-07,120430.49987328361
2017-03-08,120206.89168361458
2017-03-09,120359.34650621071
2017-03-10,120781.0759165026
2017-03-13,120842.08119512512
2017-03-14,120379.66064432997
2017-03-15,121421.36641406607
2017-03-16,121182.53609172147
2017-03-17,120969.7046331502
2017-03-20,120837.02511211843
2017-03-21,119285.53505841257
2017-03-22,119566.20603924419
2017-03-23,119438.64546548385
2017-03-24,119351.89278014697
2017-03-27,119229.38828939332
2017-03-28,120096.98698763605
2017-03-29,120209.28052567456
2017-03-30,120591.99816939261
2017-03-31,120311.3451497795
2017-04-03,120102.08797368898
2017-04-04,120178.62970631072
2017-04-05,119821.39005102961
2017-04-06,120158.22576209898
2017-04-07,120035.75719378232
2017-04-10,120107.1889597419
2017-04-11,119964.28052477652
2017-04-12,119438.64546548385
2017-04-13,118662.89145802167
2017-04-17,119714.21546026251
2017-04-18,119356.98478559064
2017-04-19,119137.52563739425
2017-04-20,120107.1889597419
2017-04-21,119724.41743236837
2017-04-24,121041.1633409375
2017-04-25,121745.44966000311
2017-04-26,121668.8630243351
2017-04-27,121770.97255148628
2017-04-28,121505.56860637649
2017-05-01,121811.789420519
2017-05-02,121857.7342174324
2017-05-03,121709.73377702333
2017-05-04,121852.64221198873
2017-05-05,122332.35941619573
2017-05-08,122311.9375107655
2017-05-09,122199.65295333622
2017-05-10,122419.11210153262
2017-05-11,122169.04703701861
2017-05-12,121964.89084698101
2017-05-15,122638.57124972901
2017-05-16,122526.29567290896
2017-05-17,120352.16201881223
2017-05-18,120837.02511211843
2017-05-19,121622.98109168645
2017-05-22,122240.49676419668
2017-05-23,122510.94781170393
2017-05-24,122796.79162346244
2017-05-25,123383.69239904583
2017-05-26,123358.17848817189
2017-05-30,123251.01287801405
2017-05-31,123220.3979810872
2017-06-01,124200.26327554072
2017-06-02,124613.64071923184
2017-06-05,124521.79602845128
2017-06-06,124123.71256230972
2017-06-07,124353.39164383047
2017-06-08,124414.6034764657
2017-06-09,124225.7682058054
2017-06-12,124200.26327554072
2017-06-13,124807.58595655432
2017-06-14,124649.37456343013
2017-06-15,124409.50249041276
2017-06-16,124436.68679460682
2017-06-19,125472.62701320562
2017-06-20,124626.44706801967
2017-06-21,124595.65255890785
2017-06-22,124539.2633134389
2017-06-23,124687.98220258781
2017-06-26,124770.03802928793
2017-06-27,123764.8653779732
2017-06-28,124872.59658690149
2017-06-29,123775.11225312529
2017-06-30,124005.90493019283
2017-07-03,124216.1589539099
2017-07-05,124503.34087644638
2017-07-06,123364.84210023402
2017-07-07,124164.85273327537
2017-07-10,124298.21478061001
2017-07-11,124205.9120787578
2017-07-12,125139.29373974302
2017-07-13,125349.5477634601
2017-07-14,125934.20338673145
2017-07-17,125918.82858369865
2017-07-18,125985.47368492898
2017-07-19,126667.58687976096
2017-07-20,126723.97612522992
2017-07-21,126611.15273124575
2017-07-24,126580.36720274317
2017-07-25,126888.09675923937
2017-07-26,126893.20672590156
2017-07-27,126775.28234586446
2017-07-28,126626.56345671552
2017-07-31,126554.71858273054
2017-08-01,126836.80849982335
2017-08-02,126898.35261500075
2017-08-03,126652.19411550967
2017-08-04,126882.9688313587
2017-08-07,127118.86249447917
2017-08-08,126806.04093253928
2017-08-09,126800.8770822216
2017-08-10,125011.05063967982
2017-08-11,125195.70094643049
2017-08-14,126436.80318330268
2017-08-15,126421.37449661439
2017-08-16,126641.92927913906
2017-08-17,124667.4704910651
2017-08-18,124472.59127038081
2017-08-21,124570.04884194145
2017-08-22,125872.64131033556
2017-08-23,125421.3387537896
2017-08-24,125129.01992276317
2017-08-25,125421.3387537896
2017-08-28,125426.49362349803
2017-08-29,125570.075604157
2017-08-30,126164.98708318973
2017-08-31,126923.97429318565
2017-09-01,127103.4876914464
2017-09-05,126190.60876137462
2017-09-06,126621.39062578861
2017-09-07,126606.00684214658
2017-09-08,126457.3148948254
2017-09-11,127806.08565597334
2017-09-12,128236.86752038733
2017-09-13,128298.40265495547
2017-09-14,128257.37025130079
2017-09-15,128430.03144470522
2017-09-18,128703.18565559616
2017-09-19,128832.05739830672
2017-09-20,128878.40632263629
2017-09-21,128533.12883887369
2017-09-22,128558.87624558806
2017-09-25,128296.0407547232
2017-09-26,128373.33685852181
2017-09-27,128873.26941414636
2017-09-28,129027.89754418055
2017-09-29,129481.42729182004
2017-10-02,130043.22726455492
2017-10-03,130321.50940332652
2017-10-04,130476.1554945792
